region,source_medium,revenue,transactions
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,embalagem / referral,"0,00",0
State of Maranhao,(direct) / (none),"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / organic,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
State of Maranhao,google / cpc,"0,00",0
